game_id,home_team,away_team,date_played,home_score,away_score
1,Colorado Avalanche,Los Angeles Kings,2026-04-19,2,1
2,Tampa Bay Lightning,Montreal Canadians,2026-04-19,3,4
3,Dallas Stars,Minnesota Wild,2026-04-18,1,6
4,Winnipeg Jets,San Jose Sharks,2026-04-16,1,6
5,Tampa Bay Lightning,New York Rangers,2026-04-15,2,4
